Código modular,Nombre de IE,Nivel / Modalidad,Gestión / Dependencia,Dirección de IE,Departamento / Provincia / Distrito,Alumnos (Censo educativo 2019),Docentes (Censo educativo 2019),Secciones (Censo educativo 2019)
643668,MIGUEL RUBIO,Secundaria,Pública - Sector Educación,JIRON LA MERCED 859,Amazonas / Chachapoyas / Chachapoyas,311,18,11
568121,CESAR VALLEJO,Secundaria,Pública - Sector Educación,JIRON PORVENIR S/N,Amazonas / Chachapoyas / Magdalena,88,8,5
678615,SANTIAGO ANTUNEZ DE MAYOLO,Secundaria,Pública - Sector Educación,JIRON AMAZONAS 160,Amazonas / Chachapoyas / Chachapoyas,275,28,13
678581,SEMINARIO JESUS MARIA,Secundaria,Pública - En convenio,JIRON CHINCHA ALTA 492,Amazonas / Chachapoyas / Chachapoyas,369,26,15
643643,SAN MIGUEL,Secundaria,Pública - Sector Educación,HUERTO LACCHO,Amazonas / Chachapoyas / Soloco,50,7,5
262196,VIRGEN ASUNTA,Secundaria,Pública - En convenio,JIRON LA MERCER 665,Amazonas / Chachapoyas / Chachapoyas,651,40,22
262188,SAN JUAN DE LA LIBERTAD,Secundaria,Pública - Sector Educación,JIRON AMAZONAS 216,Amazonas / Chachapoyas / Chachapoyas,975,54,32
568725,JOSE OLAYA,Secundaria,Pública - Sector Educación,AVENIDA JOSE OLAYA 193,Amazonas / Chachapoyas / Molinopampa,103,12,5
262212,OCTAVIO ORTIZ ARRIETA,Secundaria,Pública - Sector Educación,JIRON EL PROGRESO S/N,Amazonas / Chachapoyas / Chuquibamba,64,7,5
568071,JUAN VELASCO ALVARADO,Secundaria,Pública - Sector Educación,LA JALCA,Amazonas / Chachapoyas / La Jalca,261,22,22
262204,SAN AGUSTIN,Secundaria,Pública - Sector Educación,JIRON SAN CRISTOBAL 102,Amazonas / Chachapoyas / Leimebamba,305,22,15
536417,SAN ILDEFONSO,Secundaria,Pública - Sector Educación,JIRON SANTA ROSA S/N,Amazonas / Chachapoyas / Montevideo,45,8,5
657270,SEÑOR DE LOS MILAGROS,Secundaria,Pública - Sector Educación,JIRON LIMATAMBO S/N,Amazonas / Chachapoyas / Mariscal Castilla,59,8,5
1302017,18002 MARIA AUXILIADORA,Secundaria,Pública - Sector Educación,JIRON PIURA S/N,Amazonas / Chachapoyas / Chachapoyas,312,14,11
1302652,NUESTRA SEÑORA DE GUADALUPE,Secundaria,Pública - Sector Educación,AVENIDA MARAÑON S/N,Amazonas / Chachapoyas / Balsas,100,8,6
1302132,ALFRED NOBEL,Secundaria,Privada - Particular,JIRON GRAU 621-623,Amazonas / Chachapoyas / Chachapoyas,107,16,5
1302173,18206,Secundaria,Pública - Sector Educación,PENGOTE,Amazonas / Chachapoyas / La Jalca,68,7,5
768614,JUAN VELASCO ALVARADO,Secundaria,Pública - Sector Educación,SHUSHUG,Amazonas / Bagua / Imaza,134,9,6
623363,MANUEL SCORZA,Secundaria,Pública - Sector Educación,ESPITAL S/N,Amazonas / Bagua / La Peca,63,8,5
623355,SANTA INES,Secundaria,Pública - En convenio,CARRETERA PENETRACION ALA SELVA KM 39,Amazonas / Bagua / Aramango,45,8,5
262956,EMBLEMATICA MANUEL ANTONIO MESONES MURO,Secundaria,Pública - Sector Educación,JIRON MARIANO MELGAR 305,Amazonas / Bagua / Bagua,842,54,33
583377,SAGRADO CORAZON DE JESUS,Secundaria,Pública - Sector Educación,AVENIDA SAN MARTIN S/N,Amazonas / Bagua / Copallin,224,22,22
926527,TECNICO INDUSTRIAL BAGUA,Secundaria,Pública - Sector Educación,AVENIDA BAGUA 1950,Amazonas / Bagua / Bagua,479,41,19
768168,RAMIRO PRIALE PRIALE,Secundaria,Pública - Sector Educación,JIRON PROGRESO S/N,Amazonas / Bagua / La Peca,38,9,5
